,content,date,text,Length,sid_sentiment,finbert_label
0,"['may', 'rais', 'billion', 'potenti', 'valuat', 'billion']",20210304 1842030000,may rais billion potenti valuat billion,6,0.0,0
1,"['exclus', 'take', 'place', 'march']",20210304 1027350000,exclus take place march,4,0.0,0
2,"['open', 'us', 'invest']",20210304 1000000000,open us invest,3,0.0,0
3,"['back', 'blockbust', 'stock', 'market', 'debut', 'would', 'valu', 'giant', 'well', 'billion', 'make', 'us', 'initi', 'public', 'offer']",20210304 0900270000,back blockbust stock market debut would valu giant well billion make us initi public offer,15,0.2732,0
4,['interest'],20210304 0838150000,interest,1,0.4588,0
5,"['would', 'make', 'us', 'list', 'foreign', 'compani', 'sinc', 'billion', 'blockbust']",20210304 0802470000,would make us list foreign compani sinc billion blockbust,9,0.0,0
6,"['health', 'price', 'bullish', 'debut', 'valuat']",20210304 0802220000,health price bullish debut valuat,5,0.0,0
7,"['may', 'rais', 'billion', 'potenti', 'valuat', 'billion']",20210304 0802130000,may rais billion potenti valuat billion,6,0.0,0
8,"['probabl', 'go', 'cover', 'video', 'sinc', 'somewhat', 'uniqu', 'perspect', 'multipl', 'time', 'per', 'might', 'talk', 'next', 'news', 'video', 'wont', 'video', 'unless', 'price', 'realli', 'detest', 'overvalu']",20210304 0604360000,probabl go cover video sinc somewhat uniqu perspect multipl time per might talk next news video wont video unless price realli detest overvalu,23,0.0,0
9,"['giant', 'founder', 'could', 'worth', 'billion', 'via', 'kim', 'us', 'citizen', 'left', 'south', 'age', 'board', 'school', 'age']",20210304 0414290000,giant founder could worth billion via kim us citizen left south age board school age,15,0.2263,0
10,"['south', 'back', 'blockbust', 'stock', 'market', 'debut', 'would', 'valu', 'giant', 'well', 'billion', 'make', 'us']",20210304 0044000000,south back blockbust stock market debut would valu giant well billion make us,13,0.2732,0
11,"['summari', 'grouchi', 'debut', 'monster', 'deal']",20210305 2152520000,summari grouchi debut monster deal,5,0.0,0
12,"['giant', 'founder', 'could', 'worth', 'billion']",20210305 2118200000,giant founder could worth billion,5,0.2263,0
13,"['r', 'p', 'disruptor', 'list', 'ser', 'ut', 'sen']",20210305 1827070000,r p disruptor list ser ut sen,7,0.0,0
14,"['health', 'price', 'bullish', 'debut', 'valuat']",20210305 1610320000,health price bullish debut valuat,5,0.0,0
15,"['opinion', 'compani']",20210305 1514310000,opinion compani,2,0.0,0
16,"['lot', 'debt', 'though', 'huh']",20210305 0914140000,lot debt though huh,4,-0.3612,0
17,"['son', 'interest', 'lot', 'tech', 'consid', 'yr', 'grab', 'ant', 'coincid', 'list', 'year']",20210305 0741050000,son interest lot tech consid yr grab ant coincid list year,11,0.4588,0
18,"['open', 'us', 'invest']",20210305 0300010000,open us invest,3,0.0,0
19,"['billion', 'us', 'remain', 'king', 'tech']",20210306 2312420000,billion us remain king tech,5,0.0,0
20,"['billion', 'us', 'remain', 'king', 'tech']",20210306 2234330000,billion us remain king tech,5,0.0,0
21,"['billion', 'us', 'remain', 'king', 'tech']",20210306 2234330000,billion us remain king tech,5,0.0,0
22,"['billion', 'us', 'remain', 'king', 'tech', 'dash']",20210306 2205450000,billion us remain king tech dash,6,0.0,0
23,"['would', 'make', 'us', 'list', 'foreign', 'compani', 'sinc', 'billion', 'blockbust']",20210306 2202350000,would make us list foreign compani sinc billion blockbust,9,0.0,0
24,"['els', 'excit', 'around', 'thank']",20210306 2111440000,els excit around thank,4,0.3612,0
25,"['week', 'ahead', 'behemoth']",20210306 1937260000,week ahead behemoth,3,0.0,0
