,content,date,text,Length,sid_sentiment,finbert_label
0,"['busi', 'model', 'swot', 'via']",20201203 2345000000,busi model swot via,4,0.0,0
1,"['slap', 'face', 'smelli', 'pillow', 'bedbug']",20201203 2344480000,slap face smelli pillow bedbug,5,0.1531,0
4,"['trust', 'pilot', 'score']",20201203 2330420000,trust pilot score,3,0.5106,0
5,"['nasti', 'compani', 'investor', 'bale']",20201203 2328550000,nasti compani investor bale,4,0.0,0
6,"['come', 'next', 'week', 'stock', 'alreadi', 'hard', 'hope', 'dont', 'price', 'damn', 'thing', 'though', 'fenc', 'day', 'one', 'though']",20201203 2322190000,come next week stock alreadi hard hope dont price damn thing though fenc day one though,16,0.5801,0
7,"['drop', 'next', 'week', 'alreadi', 'run']",20201203 2315400000,drop next week alreadi run,5,-0.2732,-1
8,"['watch', 'dash']",20201203 2305000000,watch dash,2,0.0,0
9,"['go', 'make', 'money', 'throw', 'new', 'eve', 'parti', 'invest', 'profit', 'right', 'back']",20201203 2253440000,go make money throw new eve parti invest profit right back,11,0.4404,0
10,"['eu', 'economi', 'pandem', 'via']",20201203 2232410000,eu economi pandem via,4,0.0,0
11,"['back', 'come']",20201203 2228030000,back come,2,0.0,0
12,['know'],20201203 2226230000,know,1,0.0,0
13,"['spotlight', 'sector', 'grown', 'eight', 'time', 'sinc', 'launch', 'yr', 'ago', 'like', 'somebodi', 'see', 'much', 'bigger', 'opportun']",20201203 2205320000,spotlight sector grown eight time sinc launch yr ago like somebodi see much bigger opportun,15,0.3612,1
14,"['figur', 'invest', 'prior', 'list', 'u', 'want', 'u', 'use', 'link', 'get', 'free', 'stock']",20201203 2201400000,figur invest prior list u want u use link get free stock,12,0.5574,0
15,"['updat', 'billion']",20201203 2136130000,updat billion,2,0.0,0
16,"['de', 'para', 'da', 'pandemia']",20201203 2117530000,de para da pandemia,4,0.0,0
17,"['lodg', 'servic', 'verg', 'billion']",20201203 2110090000,lodg servic verg billion,4,0.0,0
18,"['ich', 'gar', 'mal', 'ist', 'gar', 'mal', 'die', 'nach', 'man', 'die']",20201203 2104440000,ich gar mal ist gar mal die nach man die,10,-0.8316,0
19,"['ad', 'watch', 'list', 'next', 'move', 'like', 'think', 'like', 'stock', 'next']",20201203 2054090000,ad watch list next move like think like stock next,10,0.6124,0
20,"['el', 'de', 'en', 'un', 'con', 'el', 'de', 'la', 'de', 'la', 'es', 'de', 'mil']",20201203 2036000000,el de en un con el de la de la es de mil,13,0.0,0
21,"['one', 'time', 'caus', 'untold', 'miseri', 'hardship', 'whilst', 'simultan', 'magic', 'resili', 'recoveri']",20201203 2033310000,one time caus untold miseri hardship whilst simultan magic resili recoveri,11,-0.3182,0
22,['upcom'],20201203 2023370000,upcom,1,0.0,0
23,"['bought', 'effect', 'valuat', 'nonexist', 'world', 'shut', 'one', 'would', 'touch', 'like', 'valuat', 'need', 'convict']",20201203 2023360000,bought effect valuat nonexist world shut one would touch like valuat need convict,13,0.3612,0
24,"['watch', 'dash', 'ai', 'keep', 'eye', 'via']",20201203 2023340000,watch dash ai keep eye via,6,0.0,0
