,content,date,text,Length,sid_sentiment,finbert_label
0,"['saic', 'close', 'stake', 'buy', 'york', 'gener']",20101110 2354560000,saic close stake buy york gener,6,0.0,0
1,"['saic', 'close', 'stake', 'buy', 'york', 'gener', 'final']",20101110 2354560000,saic close stake buy york gener final,7,0.0,0
2,"['busi', 'saic', 'close', 'stake', 'buy', 'gener', 'final', 'stage']",20101110 2352300000,busi saic close stake buy gener final stage,8,0.0,0
3,"['billion', 'quarter', 'profit', 'next', 'gener', 'post', 'billion']",20101110 2352240000,billion quarter profit next gener post billion,7,0.4404,0
4,"['exclus', 'saic', 'near', 'stake', 'buy', 'york', 'gener']",20101110 2350170000,exclus saic near stake buy york gener,7,0.0,0
5,"['exclus', 'saic', 'near', 'stake', 'buy', 'york', 'gener']",20101110 2350170000,exclus saic near stake buy york gener,7,0.0,0
6,"['exclus', 'saic', 'near', 'stake', 'buy', 'york', 'gener', 'final']",20101110 2350170000,exclus saic near stake buy york gener final,8,0.0,0
7,"['billion', 'quarter', 'profit', 'next', 'gener', 'post', 'billion', 'profit']",20101110 2350150000,billion quarter profit next gener post billion profit,8,0.7003,0
8,"['billion', 'quarter', 'profit', 'next', 'gener', 'post']",20101110 2350150000,billion quarter profit next gener post,6,0.4404,0
9,"['gener', 'billion', 'third', 'quarter', 'quarterli', 'profit', 'next', 'week']",20101110 2340060000,gener billion third quarter quarterli profit next week,8,0.4404,0
10,"['money', 'third', 'quarter', 'toward', 'gener', 'made', 'billion', 'third', 'quarter']",20101110 2304440000,money third quarter toward gener made billion third quarter,9,0.0,0
11,"['gener', 'profit', 'billion', 'ahead']",20101110 2258520000,gener profit billion ahead,4,0.4404,0
12,"['gener', 'today', 'billion', 'profit', 'last', 'quarter', 'make', 'best', 'quarter', 'sinc']",20101110 2257170000,gener today billion profit last quarter make best quarter sinc,10,0.7964,-1
13,"['gener', 'profit', 'billion', 'ahead']",20101110 2239460000,gener profit billion ahead,4,0.4404,0
14,"['gener', 'profit', 'billion', 'ahead', 'via']",20101110 2230550000,gener profit billion ahead via,5,0.4404,0
15,"['gener', 'earn', 'billion', 'profit', 'ahead', 'gener']",20101110 2228290000,gener earn billion profit ahead gener,6,0.4404,1
16,"['gener', 'earn', 'billion', 'profit', 'ahead', 'gener']",20101110 2228280000,gener earn billion profit ahead gener,6,0.4404,1
17,"['gener', 'earn', 'billion', 'profit', 'ahead', 'gener']",20101110 2228270000,gener earn billion profit ahead gener,6,0.4404,1
18,"['gener', 'initi', 'public', 'offer']",20101110 2216230000,gener initi public offer,4,0.0,0
19,"['gener', 'billion', 'profit', 'eve']",20101110 2215590000,gener billion profit eve,4,0.4404,0
20,"['unauthor', 'cost', 'spot', 'new', 'york', 'gener', 'h']",20101110 2210150000,unauthor cost spot new york gener h,7,0.0,0
21,"['unauthor', 'cost', 'spot', 'new', 'york', 'gener', 'h']",20101110 2210150000,unauthor cost spot new york gener h,7,0.0,0
22,"['unauthor', 'cost', 'spot', 'new', 'york', 'gener', 'confirm', 'tha']",20101110 2210140000,unauthor cost spot new york gener confirm tha,8,0.0,0
23,"['swiss', 'bank', 'longer', 'work', 'gener', 'initi']",20101110 2147030000,swiss bank longer work gener initi,6,0.0,0
24,"['today', 'money', 'gener', 'billion', 'earn', 'eve']",20101110 2130270000,today money gener billion earn eve,6,0.0,0
25,"['swiss', 'bank', 'longer', 'work', 'gener', 'initi', 'public']",20101110 2107500000,swiss bank longer work gener initi public,7,0.0,0
26,"['billion', 'quarter', 'profit', 'next', 'bailey', 'gener', 'post']",20101110 2044240000,billion quarter profit next bailey gener post,7,0.4404,0
27,"['gener', 'profit', 'billion', 'ahead']",20101110 2038580000,gener profit billion ahead,4,0.4404,0
28,"['wonder', 'gener', 'issu', 'interest', 'anybodi', 'could', 'help']",20101110 2033570000,wonder gener issu interest anybodi could help,7,0.6908,0
29,"['gener', 'analyst', 'note', 'last', 'week']",20101110 2024160000,gener analyst note last week,5,0.0,0
30,"['billion', 'quarter', 'profit', 'next', 'bailey', 'gener', 'post']",20101110 2011360000,billion quarter profit next bailey gener post,7,0.4404,0
31,"['gener', 'profit', 'billion', 'ahead', 'gener', 'post', 'last', 'financi', 'r']",20101110 2002570000,gener profit billion ahead gener post last financi r,9,0.4404,0
32,"['gener', 'profit', 'billion', 'ahead', 'gener', 'post', 'last', 'financi', 'r']",20101110 2002520000,gener profit billion ahead gener post last financi r,9,0.4404,0
