,content,date,text,Length,sid_sentiment,finbert_label
0,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast', 'tech']",20190502 2357140000,earli advisor tusk back forward fast tech,7,0.0,1
1,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast']",20190502 2356010000,earli advisor tusk back forward fast,6,0.0,0
2,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast']",20190502 2355330000,earli advisor tusk back forward fast,6,0.0,0
3,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast', 'via', 'ai', 'analyt', 'via', 'twitter']",20190502 2354320000,earli advisor tusk back forward fast via ai analyt via twitter,11,0.0,0
4,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast', 'may']",20190502 2354240000,earli advisor tusk back forward fast may,7,0.0,1
5,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast']",20190502 2353110000,earli advisor tusk back forward fast,6,0.0,0
6,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast']",20190502 2352100000,earli advisor tusk back forward fast,6,0.0,0
7,"['pretti', 'interest', 'time', 'first', 'earn', 'two', 'day', 'next', 'week', 'could', 'one', 'two']",20190502 2352030000,pretti interest time first earn two day next week could one two,12,0.4588,0
8,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast']",20190502 2351210000,earli advisor tusk back forward fast,6,0.0,0
9,"['tool', 'euphoria', 'unload']",20190502 2350220000,tool euphoria unload,3,0.6486,0
10,"['earli', 'advisor', 'tusk', 'back', 'forward']",20190502 2350100000,earli advisor tusk back forward,5,0.0,0
11,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast']",20190502 2350040000,earli advisor tusk back forward fast,6,0.0,0
12,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast']",20190502 2348360000,earli advisor tusk back forward fast,6,0.0,0
13,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast']",20190502 2347040000,earli advisor tusk back forward fast,6,0.0,0
14,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast', 'via', 'popular']",20190502 2346280000,earli advisor tusk back forward fast via popular,8,0.4215,0
15,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast']",20190502 2345540000,earli advisor tusk back forward fast,6,0.0,0
16,"['good', 'read', 'bad']",20190502 2345420000,good read bad,3,-0.1531,0
17,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast', 'via', 'ai', 'analyt']",20190502 2345120000,earli advisor tusk back forward fast via ai analyt,9,0.0,0
18,"['great', 'articl', 'employ', 'corpor', 'must', 'look', 'record', 'care', 'record', 'law', 'break', 'exploit', 'shame', 'tech', 'law', 'answer']",20190502 2344510000,great articl employ corpor must look record care record law break exploit shame tech law answer,16,0.5859,0
19,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast']",20190502 2344240000,earli advisor tusk back forward fast,6,0.0,0
20,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast', 'technolog']",20190502 2344240000,earli advisor tusk back forward fast technolog,7,0.0,0
21,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast', 'stori', 'polit', 'oper', 'success', 'third', 'mayor', 'campaign', 'tusk', 'soon']",20190502 2341450000,earli advisor tusk back forward fast stori polit oper success third mayor campaign tusk soon,15,0.5719,0
22,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast']",20190502 2341190000,earli advisor tusk back forward fast,6,0.0,0
23,"['earli', 'advisor', 'tusk', 'back', 'forward', 'eve']",20190502 2341140000,earli advisor tusk back forward eve,6,0.0,0
24,"['earli', 'advisor', 'tusk', 'back', 'forward', 'eve']",20190502 2340240000,earli advisor tusk back forward eve,6,0.0,0
25,"['earli', 'advisor', 'tusk', 'back', 'forward', 'fast']",20190502 2340230000,earli advisor tusk back forward fast,6,0.0,0
26,"['earli', 'advisor', 'tusk', 'back', 'forward', 'week', 'ahead']",20190502 2340040000,earli advisor tusk back forward week ahead,7,0.0,0
27,"['earli', 'advisor', 'tusk', 'back', 'forward', 'eve']",20190502 2340030000,earli advisor tusk back forward eve,6,0.0,0
28,"['earli', 'advisor', 'tusk', 'back', 'forward', 'week', 'ahead']",20190502 2339330000,earli advisor tusk back forward week ahead,7,0.0,0
29,"['earli', 'advisor', 'tusk', 'back', 'forward', 'eve', 'technolog', 'tech']",20190502 2339110000,earli advisor tusk back forward eve technolog tech,8,0.0,0
30,"['earli', 'advisor', 'tusk', 'back', 'forward', 'week', 'ahead']",20190502 2338450000,earli advisor tusk back forward week ahead,7,0.0,0
31,"['aye', 'go', 'ahead', 'releas', 'ya', 'boy', 'tri', 'eat']",20190502 2338420000,aye go ahead releas ya boy tri eat,8,0.0,0
32,"['earli', 'advisor', 'tusk', 'back', 'forward', 'eve']",20190502 2338190000,earli advisor tusk back forward eve,6,0.0,0
33,"['earli', 'advisor', 'tusk', 'back', 'forward', 'eve']",20190502 2338110000,earli advisor tusk back forward eve,6,0.0,0
34,"['fresh', 'news', 'earli', 'advisor', 'tusk', 'back', 'forward', 'eve']",20190502 2337310000,fresh news earli advisor tusk back forward eve,8,0.3182,1
35,"['earli', 'advisor', 'tusk', 'back', 'forward', 'eve']",20190502 2337170000,earli advisor tusk back forward eve,6,0.0,0
36,"['earli', 'advisor', 'tusk', 'back', 'forward', 'eve', 'stori', 'polit', 'oper', 'success', 'third', 'mayor', 'campaign', 'tusk', 'soon', 'turn']",20190502 2337150000,earli advisor tusk back forward eve stori polit oper success third mayor campaign tusk soon turn,16,0.5719,0
